Type(1),Region(1),2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12
Apartments,Seoul,91.5,91.7,91.8,92.1,92.3,92.5,93.3,93.9,94.5,94.6,94.7,94.9
